asr,diar,oracle,clip_id,cp_errors,cp_len,di_errors,di_len,wer_errors,wer_len,wder_errors,wder_len,ref_words,hyp_words,ref_spk,hyp_spk
indicconformer,pyannote31,False,0AEEA8NyVwY__000011000_000609000,767,1333,767,1333,761,1333,28,815,1333,826,3,3
indicconformer,pyannote31,False,0SoItGfM_sY__000007000_000088000,107,165,107,165,107,165,3,115,165,117,5,5
indicconformer,pyannote31,False,0VEwL9XZ0LY__000261000_000557000,281,873,281,873,268,873,17,751,873,768,2,2
indicconformer,pyannote31,False,0esIFSOAcFs__000000000_000913000,1969,2748,1969,2748,1966,2748,18,1117,2748,1133,3,3
indicconformer,pyannote31,False,0p6cktLGIfY__000012000_000930000,2090,2567,2090,2567,2084,2567,44,755,2567,760,6,5
indicconformer,pyannote31,False,13VBh0Z6QmE__000000000_000904000,2472,2499,2470,2499,2470,2499,56,104,2499,104,4,5
indicconformer,pyannote31,False,1LFl5JEipII__000000000_000597000,1498,1590,1496,1590,1494,1590,42,195,1590,196,5,5
indicconformer,pyannote31,False,2HGP34TNvjg__000084000_000194000,175,296,175,296,174,296,4,198,296,205,2,2
indicconformer,pyannote31,False,2LN6vb7EBn0__000098000_000394000,745,751,745,751,743,751,15,30,751,30,3,3
indicconformer,pyannote31,False,2T4pjueLrsk__000677000_001290000,2133,2314,2133,2314,2132,2314,46,338,2314,340,4,3
indicconformer,pyannote31,False,2gGHQgj9yno__000000000_000099000,267,285,267,285,266,285,7,30,285,30,4,2
indicconformer,pyannote31,False,2iMXYxBTwbM__000339000_000401000,181,188,181,188,181,188,13,26,188,26,3,2
indicconformer,pyannote31,False,37dND_0r6S8__000060000_000222000,556,557,556,557,556,557,0,1,557,1,2,1
indicconformer,pyannote31,False,4Qg2jWP6_T0__000136000_000202000,252,266,250,266,248,266,28,49,266,54,3,3
indicconformer,pyannote31,False,6-726qTlYeg__000102000_000162000,204,214,204,214,206,214,8,52,214,52,2,2
indicconformer,pyannote31,False,6ZeRgvDHwcI__000006000_000100000,170,189,170,189,169,189,27,50,189,50,2,2
indicconformer,pyannote31,False,6f6TLzlP8Wk__000082000_000144000,236,236,236,236,236,236,28,76,236,76,2,2
indicconformer,pyannote31,False,7L4gi7Ncc0s__000090000_000148000,66,125,66,125,62,125,2,107,125,117,2,2
indicconformer,pyannote31,False,7WhVNRHbjIY__000091000_001089000,2371,2482,2371,2482,2369,2482,35,275,2482,276,5,5
indicconformer,pyannote31,False,7YfsQPYY-W0__000351000_000411000,208,208,208,208,208,208,7,14,208,14,2,2
indicconformer,pyannote31,False,7c9ePKgqams__000299000_000869000,856,1522,856,1522,836,1522,49,1085,1522,1118,4,3
indicconformer,pyannote31,False,7k-xDqNjESc__000073000_000981000,1493,2239,1493,2239,1294,2239,194,1574,2239,1611,4,2
indicconformer,pyannote31,False,83gP2vLH7UY__000255000_002005000,3893,5799,3893,5799,3883,5799,151,2699,5799,2731,5,5
indicconformer,pyannote31,False,86mMTUeDiR8__000181000_001079000,2138,2393,2138,2393,2068,2393,131,508,2393,512,5,4
indicconformer,pyannote31,False,87Zbup3ohcw__000106000_000445000,582,749,570,749,569,749,11,298,749,300,4,5
indicconformer,pyannote31,False,8Ve4SWhlrrA__000000000_000070000,34,133,34,133,33,133,1,125,133,127,2,1
indicconformer,pyannote31,False,8mvORuRHw2U__000000000_001197000,2915,3492,2915,3492,2916,3492,50,782,3492,803,4,4
