system,n_clips,n_hyp_missing,DER,miss,false_alarm,confusion,DER_pyannote_accum,JER_pyannote_accum,DER_macro,JER_macro,spk_count_acc,spk_count_mae,spk_count_bias
indicconformer__pyannote31,99,0,0.29032950139790975,0.1158507781308055,0.058910105631251264,0.11556861763585302,0.29032950139790975,0.39468819533012833,0.31032816029623617,0.3914705475706334,0.7272727272727273,0.3333333333333333,-0.15151515151515152
indicconformer__pyannote31+llm,99,0,0.29902855346845747,0.1158507781308055,0.058910105631251264,0.1242676697064007,0.29902855346845747,0.42066882819143836,0.33309966001037306,0.4236070590861216,0.7171717171717171,0.3434343434343434,-0.16161616161616163
indicconformer__pyannote31+rule,99,0,0.30552451310977086,0.1158507781308055,0.058910105631251264,0.1307636293477141,0.30552451310977086,0.4107392544149323,0.3216874829483315,0.40645911194167494,0.7373737373737373,0.32323232323232326,-0.16161616161616163
indicconformer__sortformer,99,25,0.7522555724141546,0.6513788610354003,0.02188888824675064,0.07898782313200373,0.7522555724141549,0.6599593346009337,0.5285194966383813,0.6013412570535587,0.43434343434343436,1.5555555555555556,-1.4141414141414141
indicconformer__sortformer_stream,99,0,0.4863356434010583,0.0982451546592489,0.06281060660283125,0.3252798821389782,0.48633564340105867,0.5919797562846916,0.4352592520232049,0.552533484302969,0.5151515151515151,0.6767676767676768,-0.3333333333333333
indicconformer__sortformer_stream+rule,99,0,0.4968194150604439,0.0982451546592489,0.06281060660283125,0.33576365379836376,0.4968194150604443,0.6023399004265756,0.44280891171232156,0.5622050352315414,0.5252525252525253,0.6666666666666666,-0.3434343434343434
indicconformer__sortformer+rule,99,25,0.7548226683304962,0.6513788610354003,0.02188888824675064,0.08155491904834515,0.7548226683304965,0.6669884177448696,0.5325317797214709,0.6100479865343716,0.43434343434343436,1.5555555555555556,-1.4141414141414141
indicconformer_free__pyannote31,99,0,0.28797692658892493,0.1158507781308055,0.058910105631251264,0.11321604282686815,0.28797692658892493,0.39029792566946186,0.310227457009755,0.38946595173872944,0.7272727272727273,0.3333333333333333,-0.15151515151515152
indicconformer_free__pyannote31+rule,99,0,0.3008159626287377,0.1158507781308055,0.058910105631251264,0.12605507886668094,0.3008159626287377,0.40405189792491486,0.318679413719832,0.4013809027878259,0.7272727272727273,0.3333333333333333,-0.15151515151515152
indicconformer_free__sortformer,99,25,0.7520159560492905,0.6513788610354003,0.02188888824675064,0.07874820676713958,0.7520159560492907,0.6584416269280183,0.5279325994003532,0.6012533162417001,0.4444444444444444,1.5454545454545454,-1.4242424242424243
indicconformer_free__sortformer_stream,99,0,0.48136927193523293,0.0982451546592489,0.06281060660283125,0.3203135106731528,0.48136927193523316,0.5871342057081774,0.43103360252454515,0.5495149832264629,0.5151515151515151,0.6767676767676768,-0.35353535353535354
indicconformer_free__sortformer_stream+rule,99,0,0.48869268601053834,0.0982451546592489,0.06281060660283125,0.3276369247484582,0.48869268601053856,0.5964006770075043,0.43737820042691256,0.5586223676136177,0.5454545454545454,0.6565656565656566,-0.3939393939393939
indicconformer_free__sortformer+rule,99,25,0.7544127865338268,0.6513788610354003,0.02188888824675064,0.08114503725167588,0.7544127865338272,0.6639023179450453,0.5310530317084438,0.6060868242698321,0.4444444444444444,1.5454545454545454,-1.4444444444444444
pyannote31,99,0,0.2733804000926452,0.1158507781308055,0.058910105631251264,0.09861951633058842,0.2733804000926452,0.38135724664315124,0.29758988793907204,0.3809198893141898,0.7272727272727273,0.3333333333333333,-0.13131313131313133
sortformer,99,25,0.7485086215212836,0.6513788610354003,0.02188888824675064,0.07524087223913269,0.7485086215212838,0.6528720445987701,0.5202099532983314,0.5956572119865052,0.43434343434343436,1.5454545454545454,-1.3838383838383839
sortformer_stream,99,0,0.4723085280753468,0.0982451546592489,0.06281060660283125,0.3112527668132666,0.472308528075347,0.5782268483759945,0.41880508777311326,0.5395492627795063,0.5151515151515151,0.6767676767676768,-0.31313131313131315
whisper__pyannote31,99,0,0.30472004228628635,0.1158507781308055,0.058910105631251264,0.12995915852422957,0.3047200422862863,0.4153513872503909,0.325823306468187,0.41155240516832375,0.696969696969697,0.37373737373737376,-0.1717171717171717
whisper__pyannote31+rule,99,0,0.30654454975018053,0.1158507781308055,0.058910105631251264,0.13178366598812377,0.3065445497501805,0.41808388057919543,0.3271185062488094,0.4138291902849617,0.696969696969697,0.36363636363636365,-0.18181818181818182
whisper__sortformer,99,25,0.7568927492265813,0.6513788610354003,0.02188888824675064,0.08362499994443036,0.7568927492265816,0.6690238434536822,0.5370587789407721,0.6134237107758234,0.46464646464646464,1.5151515151515151,-1.4141414141414141
whisper__sortformer_stream,99,0,0.4920524275271634,0.0982451546592489,0.06281060660283125,0.33099666626508323,0.4920524275271635,0.5932810958609698,0.43960912468291696,0.5547363428134572,0.5555555555555556,0.6363636363636364,-0.35353535353535354
whisper__sortformer_stream+rule,99,0,0.4930637953009406,0.0982451546592489,0.06281060660283125,0.3320080340388604,0.49306379530094074,0.5942226278037797,0.44006174266219594,0.5552647648876402,0.5555555555555556,0.6363636363636364,-0.35353535353535354
whisper__sortformer+rule,99,25,0.7564306319514861,0.6513788610354003,0.02188888824675064,0.0831628826693352,0.7564306319514864,0.6698102630329187,0.5361979453096334,0.6148857319181754,0.46464646464646464,1.5151515151515151,-1.4141414141414141
