asr,diar,method,clip_id,language,duration,n_speakers,speakers,overlap_frac_of_speech,overlap,hyp_missing,WER,cpWER,WDER,DER,JER,DER_ctrl,JER_ctrl,n_units,n_applied,n_words_relabelled,rogue,wer_errors,wer_len,cp_errors,cp_len,wder_errors,wder_len,err_miss_sec,err_fa_sec,err_conf_sec,ref_speech_sec,sys,sys_ctrl
indicconformer,pyannote31,baseline,0AEEA8NyVwY__000011000_000609000,Devanagari (hi/mr),598.0000,3,3,0.0047,low (<=2.2%),False,57.0893,57.5394,3.4356,15.2164,15.2446,15.2714,14.9164,,,,,761.0000,1333.0000,767.0000,1333.0000,28.0000,815.0000,67.9790,15.6650,2.2070,564.2000,pyannote31,indicconformer__pyannote31
indicconformer,pyannote31,baseline,0SoItGfM_sY__000007000_000088000,Kannada,81.0000,5,5+,0.0000,low (<=2.2%),False,64.8485,64.8485,2.6087,43.8189,62.3965,45.0136,67.3810,,,,,107.0000,165.0000,107.0000,165.0000,3.0000,115.0000,10.5540,8.0640,12.0070,69.8900,pyannote31,indicconformer__pyannote31
indicconformer,pyannote31,baseline,0VEwL9XZ0LY__000261000_000557000,Devanagari (hi/mr),296.0000,2,2,0.0355,mid (2.2%-7.0%],False,30.6987,32.1879,2.2636,20.8319,22.4821,20.5845,21.5993,,,,,268.0000,873.0000,281.0000,873.0000,17.0000,751.0000,30.2120,17.0440,13.0170,289.3300,pyannote31,indicconformer__pyannote31
indicconformer,pyannote31,baseline,0esIFSOAcFs__000000000_000913000,Gujarati,913.0000,3,3,0.0232,mid (2.2%-7.0%],False,71.5429,71.6521,1.6115,6.1930,7.3644,6.4478,7.5162,,,,,1966.0000,2748.0000,1969.0000,2748.0000,18.0000,1117.0000,43.3470,4.6690,9.3050,925.5800,pyannote31,indicconformer__pyannote31
indicconformer,pyannote31,baseline,0p6cktLGIfY__000012000_000930000,Gujarati,918.0000,6,5+,0.0329,mid (2.2%-7.0%],False,81.1843,81.4180,5.8278,40.8738,57.5351,41.4497,57.2100,,,,,2084.0000,2567.0000,2090.0000,2567.0000,44.0000,755.0000,134.0050,113.4210,92.3580,831.3000,pyannote31,indicconformer__pyannote31
indicconformer,pyannote31,baseline,13VBh0Z6QmE__000000000_000904000,Tamil,904.0000,4,4,0.0290,mid (2.2%-7.0%],False,98.8395,98.9196,53.8462,10.8629,15.4333,17.2247,26.8287,,,,,2470.0000,2499.0000,2472.0000,2499.0000,56.0000,104.0000,39.5210,10.5800,46.2620,887.0800,pyannote31,indicconformer__pyannote31
indicconformer,pyannote31,baseline,1LFl5JEipII__000000000_000597000,Bengali,597.0000,5,5+,0.1006,high (>7.0%),False,93.9623,94.2138,21.5385,31.8872,45.4623,35.2888,50.0067,,,,,1494.0000,1590.0000,1498.0000,1590.0000,42.0000,195.0000,38.1100,30.3350,120.2380,591.7200,pyannote31,indicconformer__pyannote31
indicconformer,pyannote31,baseline,2HGP34TNvjg__000084000_000194000,Odia,110.0000,2,2,0.0128,low (<=2.2%),False,58.7838,59.1216,2.0202,30.8286,36.5238,30.7129,36.1000,,,,,174.0000,296.0000,175.0000,296.0000,4.0000,198.0000,13.1630,7.2360,11.0400,101.9800,pyannote31,indicconformer__pyannote31
indicconformer,pyannote31,baseline,2LN6vb7EBn0__000098000_000394000,Tamil,296.0000,3,3,0.0238,mid (2.2%-7.0%],False,98.9348,99.2011,50.0000,29.1219,34.2267,29.8836,35.2904,,,,,743.0000,751.0000,745.0000,751.0000,15.0000,30.0000,28.4740,24.3270,30.7410,286.8700,pyannote31,indicconformer__pyannote31
indicconformer,pyannote31,baseline,2T4pjueLrsk__000677000_001290000,Gujarati,613.0000,4,4,0.0342,mid (2.2%-7.0%],False,92.1348,92.1780,13.6095,44.1064,60.3299,44.0939,60.2611,,,,,2132.0000,2314.0000,2133.0000,2314.0000,46.0000,338.0000,108.0970,59.6910,71.9830,543.6200,pyannote31,indicconformer__pyannote31
indicconformer,pyannote31,baseline,2gGHQgj9yno__000000000_000099000,Gujarati,99.0000,4,4,0.0798,high (>7.0%),False,93.3333,93.6842,23.3333,35.1156,64.5733,35.5322,64.1655,,,,,266.0000,285.0000,267.0000,285.0000,7.0000,30.0000,13.5670,9.2490,10.9020,96.0200,pyannote31,indicconformer__pyannote31
